student_id,gender,leader_flag,support_flag,score
179,0,0,0,430
180,0,0,0,98
181,0,0,0,388
182,1,0,0,320
183,1,0,0,350
184,0,1,0,391
185,1,0,0,233
186,0,0,0,315
187,0,0,0,261
188,1,1,0,306
189,0,0,0,252
190,1,0,0,247
191,1,0,0,288
192,0,0,0,325
193,1,0,0,393
194,1,0,0,365
195,0,0,0,321
196,0,0,0,321
197,0,0,0,216
198,1,0,0,377
199,0,0,0,186
200,0,0,0,385
201,0,0,0,296
202,1,0,0,225
203,1,0,0,176
204,1,0,0,337
205,0,0,0,329
206,1,0,0,399
207,1,0,0,277
208,0,0,0,386
209,0,0,0,337
210,1,0,0,363
211,1,0,0,355
212,1,0,0,241
213,1,0,0,255
214,1,0,0,273
215,0,0,0,310
216,0,0,0,390
217,0,0,0,260
218,0,0,0,334
219,1,0,0,359
220,1,1,0,373
221,1,0,0,384
222,0,0,0,376
223,1,0,0,270
224,1,0,0,432
225,1,0,0,266
226,1,0,0,342
227,1,0,0,287
228,0,1,0,283
229,1,0,0,257
230,0,0,0,325
231,0,0,0,375
232,1,0,0,288
233,0,0,0,224
234,1,0,0,308
235,0,0,0,273
236,1,0,0,264
237,1,0,0,485
238,0,0,0,252
239,0,0,0,344
240,1,0,0,375
241,0,0,0,344
242,0,0,0,351
243,1,0,0,222
244,0,0,0,319
245,1,0,0,251
246,1,0,0,89
247,1,0,0,306
248,0,1,0,205
249,0,0,0,240
250,1,0,0,306
251,0,0,0,235
252,0,0,0,343
253,0,0,0,329
254,1,0,0,359
255,1,0,0,266
256,1,0,0,263
257,1,0,0,355
258,1,0,0,289
259,0,0,0,399
260,0,0,0,349
261,0,0,0,389
262,0,0,0,245
263,0,0,1,281
264,0,0,0,440
265,1,0,0,267
266,1,0,0,258
267,1,0,0,404
268,0,0,0,355
269,0,0,0,249
270,0,0,0,330
271,1,0,0,277
272,1,0,0,233
273,0,0,0,261
274,1,0,0,330
275,1,0,0,365
276,0,0,0,280
277,1,1,0,257
278,1,0,0,354
279,0,0,0,310
280,1,0,1,299
281,0,0,0,343
282,0,0,0,271
283,0,0,0,366
284,0,1,0,320
285,0,0,0,322
286,0,0,0,344
287,1,0,0,254
288,0,0,0,310
289,1,0,0,320
290,0,0,0,332
291,1,0,0,407
292,0,0,0,353
293,1,0,0,388
294,1,0,0,296
295,0,0,0,326
296,0,0,0,238
297,0,0,0,243
298,0,0,0,417
299,0,0,0,390
300,0,0,0,240
301,1,0,0,364
302,1,0,0,277
303,1,0,0,320
304,1,0,0,278
305,0,0,0,276
306,0,0,0,265
307,0,0,0,322
308,0,0,0,306
309,0,1,0,274
310,1,0,0,323
311,1,0,0,292
312,1,0,0,331
313,0,0,0,223
314,0,0,0,244
315,1,0,0,309
316,0,0,0,239
317,1,0,0,356
318,0,0,0,256
